window_start,LIVE_ORB,LIVE_VWM,LIVE_RENKO,CONSENSUS_2_OF_3,CHEAP_LEADER_PULLBACK,OPEN_FLIP_VALUE,LIVE_PRIORITY_PORTFOLIO
2026-04-08 23:50:00+00:00,26595.256193345485,19910.12348500197,18423.85457754018,23105.626556992458,30205.991259998744,11259.520231397051,26751.871093594793
2026-04-08 23:55:00+00:00,26604.662047497128,19910.12348500197,18423.85457754018,23105.626556992458,30215.369517250234,11259.520231397051,26761.276947746435
2026-04-09 00:00:00+00:00,26614.066731478182,19910.12348500197,18423.85457754018,23105.626556992458,30224.77280080379,11259.520231397051,26770.68163172749
2026-04-09 00:05:00+00:00,26604.066731478182,19910.12348500197,18423.85457754018,23105.626556992458,30234.177236449552,11259.520231397051,26760.68163172749
2026-04-09 00:10:00+00:00,26613.472497852086,19910.12348500197,18423.85457754018,23105.626556992458,30243.57845962597,11259.520231397051,26770.087398101394
2026-04-09 00:15:00+00:00,26603.472497852086,19910.12348500197,18423.85457754018,23105.626556992458,30252.960634511153,11249.520231397051,26760.087398101394
2026-04-09 00:20:00+00:00,26612.8701146011,19910.12348500197,18423.85457754018,23105.626556992458,30262.363535425102,11239.520231397051,26769.48501485041
2026-04-09 00:25:00+00:00,26602.8701146011,19900.12348500197,18423.85457754018,23095.626556992458,30252.363535425102,11239.520231397051,26759.48501485041
2026-04-09 00:30:00+00:00,26612.282015128367,19900.12348500197,18423.85457754018,23095.626556992458,30242.363535425102,11248.908672263246,26768.896915377674
2026-04-09 00:35:00+00:00,26602.282015128367,19890.12348500197,18413.85457754018,23085.626556992458,30232.363535425102,11248.908672263246,26758.896915377674
2026-04-09 00:40:00+00:00,26602.282015128367,19890.12348500197,18413.85457754018,23085.626556992458,30222.363535425102,11248.908672263246,26758.896915377674
2026-04-09 00:45:00+00:00,26611.695755365483,19890.12348500197,18413.85457754018,23085.626556992458,30231.768060441536,11258.306127801607,26768.31065561479
2026-04-09 00:50:00+00:00,26621.00106239656,19899.51200528776,18413.85457754018,23094.931864023536,30241.15666519493,11258.306127801607,26777.61596264587
2026-04-09 00:55:00+00:00,26611.00106239656,19899.51200528776,18413.85457754018,23094.931864023536,30231.15666519493,11258.306127801607,26767.61596264587
2026-04-09 01:00:00+00:00,26620.378654765802,19899.51200528776,18413.85457754018,23094.931864023536,30240.560211829154,11258.306127801607,26776.99355501511
2026-04-09 01:05:00+00:00,26629.685197913903,19908.818548435862,18423.120463219544,23104.1977497029,30249.937019621673,11258.306127801607,26786.30009816321
2026-04-09 01:10:00+00:00,26639.09514326494,19908.818548435862,18423.120463219544,23104.1977497029,30239.937019621673,11258.306127801607,26795.71004351425
2026-04-09 01:15:00+00:00,26648.48942916005,19908.818548435862,18423.120463219544,23104.1977497029,30249.341304848887,11258.306127801607,26805.104329409358
2026-04-09 01:20:00+00:00,26638.48942916005,19908.818548435862,18432.467026684986,23104.1977497029,30258.743953122652,11267.69603075019,26795.104329409358
2026-04-09 01:25:00+00:00,26647.88665535923,19908.818548435862,18432.467026684986,23104.1977497029,30268.139669636148,11267.69603075019,26804.50155560854
2026-04-09 01:30:00+00:00,26657.224278100053,19918.156171176684,18441.777377777675,23113.50810079559,30277.46847964009,11267.69603075019,26813.83917834936
2026-04-09 01:35:00+00:00,26666.634292461018,19918.156171176684,18441.777377777675,23113.50810079559,30286.869797547028,11267.69603075019,26823.249192710326
2026-04-09 01:40:00+00:00,26666.634292461018,19918.156171176684,18441.777377777675,23113.50810079559,30286.869797547028,11267.69603075019,26823.249192710326
2026-04-09 01:45:00+00:00,26656.634292461018,19908.156171176684,18441.777377777675,23103.50810079559,30276.869797547028,11267.69603075019,26813.249192710326
2026-04-09 01:50:00+00:00,26666.03994941981,19908.156171176684,18441.777377777675,23103.50810079559,30266.869797547028,11267.69603075019,26822.654849669118
2026-04-09 01:55:00+00:00,26675.453580889665,19908.156171176684,18441.777377777675,23103.50810079559,30266.869797547028,11267.69603075019,26832.068481138973
2026-04-09 02:00:00+00:00,26684.807588329422,19908.156171176684,18441.777377777675,23103.50810079559,30276.27063762572,11267.69603075019,26841.42248857873
2026-04-09 02:05:00+00:00,26694.216871724402,19908.156171176684,18441.777377777675,23103.50810079559,30285.67401629437,11267.69603075019,26850.83177197371
2026-04-09 02:10:00+00:00,26703.615182664602,19917.55448211688,18451.140565009686,23112.8712880276,30295.076554647592,11267.69603075019,26860.23008291391
2026-04-09 02:15:00+00:00,26713.010950398537,19926.950249850815,18451.140565009686,23122.267055761535,30304.464517423396,11267.69603075019,26869.625850647844
2026-04-09 02:20:00+00:00,26703.010950398537,19926.950249850815,18451.140565009686,23122.267055761535,30294.464517423396,11267.69603075019,26859.625850647844
2026-04-09 02:25:00+00:00,26712.383863352883,19936.32316280516,18460.508552785897,23131.635043537746,30303.848557274974,11267.69603075019,26868.99876360219
2026-04-09 02:30:00+00:00,26721.79586412859,19945.725428424565,18460.508552785897,23141.047044313455,30313.253072520434,11267.69603075019,26878.4107643779
2026-04-09 02:35:00+00:00,26731.205601823487,19955.11819164327,18460.508552785897,23150.456782008354,30322.654381986154,11267.69603075019,26887.820502072795
2026-04-09 02:40:00+00:00,26721.205601823487,19955.11819164327,18460.508552785897,23150.456782008354,30312.654381986154,11267.69603075019,26877.820502072795
2026-04-09 02:45:00+00:00,26730.596830710554,19955.11819164327,18460.508552785897,23150.456782008354,30322.045127695077,11267.69603075019,26887.21173095986
2026-04-09 02:50:00+00:00,26739.999574515037,19955.11819164327,18460.508552785897,23150.456782008354,30331.435825833672,11267.69603075019,26896.614474764345
2026-04-09 02:55:00+00:00,26749.3877955375,19964.50641266573,18460.508552785897,23159.845003030816,30340.819454585522,11267.69603075019,26906.002695786807
2026-04-09 03:00:00+00:00,26758.792217165654,19973.908664362865,18460.508552785897,23169.24942465897,30350.223327658576,11267.69603075019,26915.40711741496
2026-04-09 03:05:00+00:00,26768.17186686793,19983.28831406514,18469.88530138842,23178.626173261495,30359.60996991695,11267.69603075019,26924.78676711724
2026-04-09 03:10:00+00:00,26758.17186686793,19983.28831406514,18469.88530138842,23178.626173261495,30359.60996991695,11267.69603075019,26914.78676711724
2026-04-09 03:15:00+00:00,26767.580603505932,19973.28831406514,18469.88530138842,23178.626173261495,30349.60996991695,11267.69603075019,26924.19550375524
2026-04-09 03:20:00+00:00,26767.580603505932,19973.28831406514,18469.88530138842,23178.626173261495,30349.60996991695,11267.69603075019,26924.19550375524
2026-04-09 03:25:00+00:00,26776.982294289453,19982.663492354204,18479.248891217656,23187.98976309073,30359.00445007551,11267.69603075019,26933.59719453876
2026-04-09 03:30:00+00:00,26766.982294289453,19982.663492354204,18479.248891217656,23187.98976309073,30359.00445007551,11267.69603075019,26923.59719453876
2026-04-09 03:35:00+00:00,26776.381234232827,19992.06243229758,18479.248891217656,23197.388703034107,30368.39995712116,11267.69603075019,26932.996134482135
2026-04-09 03:40:00+00:00,26776.381234232827,19992.06243229758,18479.248891217656,23197.388703034107,30377.80104931243,11267.69603075019,26932.996134482135
2026-04-09 03:45:00+00:00,26766.381234232827,19992.06243229758,18479.248891217656,23197.388703034107,30387.202712406524,11267.69603075019,26922.996134482135
2026-04-09 03:50:00+00:00,26775.78732430918,19992.06243229758,18479.248891217656,23197.388703034107,30396.607228003013,11267.69603075019,26932.40222455849
2026-04-09 03:55:00+00:00,26785.1978747868,19992.06243229758,18479.248891217656,23197.388703034107,30406.00998005516,11267.69603075019,26941.81277503611
2026-04-09 04:00:00+00:00,26775.1978747868,19992.06243229758,18479.248891217656,23197.388703034107,30396.00998005516,11267.69603075019,26931.81277503611
2026-04-09 04:05:00+00:00,26765.1978747868,19982.06243229758,18479.248891217656,23187.388703034107,30405.40366565101,11267.69603075019,26921.81277503611
2026-04-09 04:10:00+00:00,26774.604450108156,19972.06243229758,18479.248891217656,23187.388703034107,30414.806547054468,11267.69603075019,26931.219350357464
2026-04-09 04:15:00+00:00,26774.604450108156,19972.06243229758,18479.248891217656,23187.388703034107,30414.806547054468,11267.69603075019,26931.219350357464
2026-04-09 04:20:00+00:00,26783.993568771708,19972.06243229758,18488.62948033062,23196.76929214707,30424.19296350767,11267.69603075019,26940.608469021015
2026-04-09 04:25:00+00:00,26773.993568771708,19972.06243229758,18488.62948033062,23196.76929214707,30424.19296350767,11267.69603075019,26930.608469021015
2026-04-09 04:30:00+00:00,26783.39116472386,19981.46002824973,18488.62948033062,23206.166888099222,30433.586568406812,11267.69603075019,26940.006064973168
2026-04-09 04:35:00+00:00,26792.805627607097,19981.46002824973,18488.62948033062,23206.166888099222,30433.586568406812,11267.69603075019,26949.420527856404
2026-04-09 04:40:00+00:00,26782.805627607097,19971.46002824973,18488.62948033062,23196.166888099222,30423.586568406812,11267.69603075019,26939.420527856404
2026-04-09 04:45:00+00:00,26772.805627607097,19961.46002824973,18488.62948033062,23186.166888099222,30432.932581705456,11267.69603075019,26929.420527856404
2026-04-09 04:50:00+00:00,26782.215404807605,19961.46002824973,18488.62948033062,23186.166888099222,30442.334140718263,11267.69603075019,26938.830305056912
2026-04-09 04:55:00+00:00,26772.215404807605,19961.46002824973,18488.62948033062,23186.166888099222,30442.334140718263,11267.69603075019,26928.830305056912
