sample,strategy,entry_idx,exit_idx,side,entry_price,exit_price,exit_type,pnl
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5051144967480999,1.0,settlement,9.777491587312312
TRAIN,late_limit_97_to_99,270.0,,UP,0.5050578376758488,1.0,settlement,9.779712535929601
TRAIN,late_limit_97_to_99,270.0,,UP,0.5055398767890428,1.0,settlement,9.760833242108237
TRAIN,late_limit_97_to_99,270.0,,UP,0.5060076187050022,1.0,settlement,9.742548290463404
TRAIN,late_limit_97_to_99,270.0,,UP,0.5066452858115721,1.0,settlement,9.717675016518616
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5054179079533517,1.0,settlement,9.765606807036534
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5054542091785286,1.0,settlement,9.764185824176128
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5055673845449614,1.0,settlement,9.759756973445889
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5087619089962511,1.0,settlement,9.635559551872205
TRAIN,late_limit_97_to_99,270.0,,UP,0.5060722492439363,1.0,settlement,9.740024413391243
TRAIN,late_limit_97_to_99,270.0,,UP,0.5125531584544296,1.0,settlement,9.490171452565708
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5086921672373682,1.0,settlement,9.638254331511568
TRAIN,late_limit_97_to_99,270.0,,UP,0.5092408670382721,1.0,settlement,9.617072841698011
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.507236459827248,1.0,settlement,9.694671148453622
TRAIN,late_limit_97_to_99,270.0,,UP,0.5050732941247194,1.0,settlement,9.77910661744604
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5074052710564273,1.0,settlement,9.688112174672156
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5056007167512117,1.0,settlement,9.758452974228376
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5107682364077566,1.0,settlement,9.558351367990703
TRAIN,late_limit_97_to_99,270.0,,UP,0.5083516235720954,1.0,settlement,9.651423354039473
TRAIN,late_limit_97_to_99,270.0,,UP,0.5063321637741589,1.0,settlement,9.729881037500778
