strategy,measure_sec,entry_idx,min_range,total_pnl,trades,win_rate,profit_factor,sharpe,max_drawdown,avg_outcome
confirmation,120,210,0.0006,1251657.5796249867,3195,0.7070422535211267,2.334571860152546,52.963097075518,-0.10182440711774388,0.7070422535211267
confirmation,90,120,0.0005,1210992.3781469346,3400,0.6882352941176471,2.1401653091429718,52.5255356005422,-0.0939563391698528,0.6882352941176471
chop_only,90,120,0.0005,1210992.3781469346,3400,0.6882352941176471,2.1401653091429718,52.5255356005422,-0.0939563391698528,0.6882352941176471
chop_only,90,150,0.0005,1210040.3245790643,3400,0.6882352941176471,2.1392689381417025,52.51909923519309,-0.09398375097134504,0.6882352941176471
confirmation,90,150,0.0005,1210040.3245790643,3400,0.6882352941176471,2.1392689381417025,52.51909923519309,-0.09398375097134504,0.6882352941176471
confirmation,90,180,0.0005,1208370.7619853467,3400,0.6882352941176471,2.1376970229214662,52.504932306169266,-0.09403199269426477,0.6882352941176471
chop_only,90,180,0.0005,1208370.7619853467,3400,0.6882352941176471,2.1376970229214662,52.504932306169266,-0.09403199269426477,0.6882352941176471
chop_only,90,210,0.0005,1206503.8649352898,3400,0.6882352941176471,2.135939314705769,52.492287779502654,-0.09408812653815812,0.6882352941176471
confirmation,90,210,0.0005,1206503.8649352898,3400,0.6882352941176471,2.135939314705769,52.492287779502654,-0.09408812653815812,0.6882352941176471
confirmation,90,120,0.0006,1044934.5323553728,2872,0.692200557103064,2.1796932519072407,50.794149836431885,-0.10172378523095704,0.692200557103064
chop_only,90,120,0.0006,1044934.5323553728,2872,0.692200557103064,2.1796932519072407,50.794149836431885,-0.10172378523095704,0.692200557103064
chop_only,90,150,0.0006,1044049.7618117551,2872,0.692200557103064,2.1786943779993804,50.78712902864927,-0.10174441005998347,0.692200557103064
confirmation,90,150,0.0006,1044049.7618117551,2872,0.692200557103064,2.1786943779993804,50.78712902864927,-0.10174441005998347,0.692200557103064
confirmation,90,180,0.0006,1042602.9954994018,2872,0.692200557103064,2.1770610312174337,50.77393584567418,-0.10178197863903482,0.692200557103064
chop_only,90,180,0.0006,1042602.9954994018,2872,0.692200557103064,2.1770610312174337,50.77393584567418,-0.10178197863903482,0.692200557103064
chop_only,90,210,0.0006,1040853.3987915828,2872,0.692200557103064,2.175085799883923,50.76014862703487,-0.10182440711774388,0.692200557103064
confirmation,90,210,0.0006,1040853.3987915828,2872,0.692200557103064,2.175085799883923,50.76014862703487,-0.10182440711774388,0.692200557103064
confirmation,60,120,0.0003,776463.0361513509,3374,0.6241849436870184,1.611130291586661,31.504029770562884,-0.2172720761103123,0.6241849436870184
chop_only,60,120,0.0003,776463.0361513509,3374,0.6241849436870184,1.611130291586661,31.504029770562884,-0.2172720761103123,0.6241849436870184
chop_only,60,150,0.0003,775701.0154533205,3374,0.6241849436870184,1.610530528417393,31.490080599682052,-0.21738189599750168,0.6241849436870184
confirmation,60,150,0.0003,775701.0154533205,3374,0.6241849436870184,1.610530528417393,31.490080599682052,-0.21738189599750168,0.6241849436870184
confirmation,60,180,0.0003,774190.1708797693,3374,0.6241849436870184,1.6093413888939556,31.46394463603853,-0.2184747253805991,0.6241849436870184
chop_only,60,180,0.0003,774190.1708797693,3374,0.6241849436870184,1.6093413888939556,31.46394463603853,-0.2184747253805991,0.6241849436870184
chop_only,60,210,0.0003,772642.1176172986,3374,0.6241849436870184,1.6081229635502643,31.440533755599706,-0.2188650257178414,0.6241849436870184
confirmation,60,210,0.0003,772642.1176172986,3374,0.6241849436870184,1.6081229635502643,31.440533755599706,-0.2188650257178414,0.6241849436870184
all_patterns,60,120,0.0006,744066.2175633206,2602,0.652574942352037,1.8214392206332024,34.55088420711408,-0.1826513528658683,0.652574942352037
all_patterns,60,120,0.0005,744066.2175633206,2602,0.652574942352037,1.8214392206332024,34.55088420711408,-0.1826513528658683,0.652574942352037
all_patterns,60,120,0.0004,744066.2175633206,2602,0.652574942352037,1.8214392206332024,34.55088420711408,-0.1826513528658683,0.652574942352037
all_patterns,60,120,0.0003,744066.2175633206,2602,0.652574942352037,1.8214392206332024,34.55088420711408,-0.1826513528658683,0.652574942352037
all_patterns,60,150,0.0006,743365.6603947615,2602,0.652574942352037,1.8206658148247334,34.53961044548421,-0.18266668368701355,0.652574942352037
all_patterns,60,150,0.0005,743365.6603947615,2602,0.652574942352037,1.8206658148247334,34.53961044548421,-0.18266668368701355,0.652574942352037
all_patterns,60,150,0.0004,743365.6603947615,2602,0.652574942352037,1.8206658148247334,34.53961044548421,-0.18266668368701355,0.652574942352037
all_patterns,60,150,0.0003,743365.6603947615,2602,0.652574942352037,1.8206658148247334,34.53961044548421,-0.18266668368701355,0.652574942352037
all_patterns,60,180,0.0006,742087.2532946389,2602,0.652574942352037,1.819254470367495,34.51835893052926,-0.1827031069416225,0.652574942352037
all_patterns,60,180,0.0005,742087.2532946389,2602,0.652574942352037,1.819254470367495,34.51835893052926,-0.1827031069416225,0.652574942352037
all_patterns,60,180,0.0004,742087.2532946389,2602,0.652574942352037,1.819254470367495,34.51835893052926,-0.1827031069416225,0.652574942352037
all_patterns,60,180,0.0003,742087.2532946389,2602,0.652574942352037,1.819254470367495,34.51835893052926,-0.1827031069416225,0.652574942352037
all_patterns,60,210,0.0006,740740.7324048666,2602,0.652574942352037,1.817767929191248,34.499214593573996,-0.18266315800373478,0.652574942352037
all_patterns,60,210,0.0005,740740.7324048666,2602,0.652574942352037,1.817767929191248,34.499214593573996,-0.18266315800373478,0.652574942352037
all_patterns,60,210,0.0004,740740.7324048666,2602,0.652574942352037,1.817767929191248,34.499214593573996,-0.18266315800373478,0.652574942352037
all_patterns,60,210,0.0003,740740.7324048666,2602,0.652574942352037,1.817767929191248,34.499214593573996,-0.18266315800373478,0.652574942352037
confirmation,60,120,0.0004,673314.0255794862,2791,0.629881762809029,1.6505034708699589,32.3425845777973,-0.19132045650005358,0.629881762809029
chop_only,60,120,0.0004,673314.0255794862,2791,0.629881762809029,1.6505034708699589,32.3425845777973,-0.19132045650005358,0.629881762809029
chop_only,60,150,0.0004,672635.8414883103,2791,0.629881762809029,1.6498482623217374,32.329832911450616,-0.19131792672806813,0.629881762809029
confirmation,60,150,0.0004,672635.8414883103,2791,0.629881762809029,1.6498482623217374,32.329832911450616,-0.19131792672806813,0.629881762809029
confirmation,60,180,0.0004,671281.2672021558,2791,0.629881762809029,1.6485395783478125,32.304261937519605,-0.1929252172711805,0.629881762809029
chop_only,60,180,0.0004,671281.2672021558,2791,0.629881762809029,1.6485395783478125,32.304261937519605,-0.1929252172711805,0.629881762809029
chop_only,60,210,0.0004,669905.1530333332,2791,0.629881762809029,1.6472100842200716,32.28088004806287,-0.19321021791606996,0.629881762809029
confirmation,60,210,0.0004,669905.1530333332,2791,0.629881762809029,1.6472100842200716,32.28088004806287,-0.19321021791606996,0.629881762809029
confirmation,60,120,0.0005,616430.643533016,2286,0.6443569553805775,1.7567038659863725,31.61444533634485,-0.22682814312618982,0.6443569553805775
chop_only,60,120,0.0005,616430.643533016,2286,0.6443569553805775,1.7567038659863725,31.61444533634485,-0.22682814312618982,0.6443569553805775
chop_only,60,150,0.0005,615840.4551159581,2286,0.6443569553805775,1.755979375954068,31.60352409786507,-0.22698285777705807,0.6443569553805775
confirmation,60,150,0.0005,615840.4551159581,2286,0.6443569553805775,1.755979375954068,31.60352409786507,-0.22698285777705807,0.6443569553805775
confirmation,60,180,0.0005,614636.2407254004,2286,0.6443569553805775,1.7545011339257532,31.580330801106513,-0.2271515931970186,0.6443569553805775
chop_only,60,180,0.0005,614636.2407254004,2286,0.6443569553805775,1.7545011339257532,31.580330801106513,-0.2271515931970186,0.6443569553805775
chop_only,60,210,0.0005,613437.7166147947,2286,0.6443569553805775,1.7530298770414823,31.559866658245202,-0.22731702812365706,0.6443569553805775
confirmation,60,210,0.0005,613437.7166147947,2286,0.6443569553805775,1.7530298770414823,31.559866658245202,-0.22731702812365706,0.6443569553805775
confirmation,60,120,0.0006,534623.6982257937,1802,0.658157602663707,1.866163287428055,31.549025756255215,-0.1826513528658683,0.658157602663707
chop_only,60,120,0.0006,534623.6982257937,1802,0.658157602663707,1.866163287428055,31.549025756255215,-0.1826513528658683,0.658157602663707
chop_only,60,150,0.0006,534105.0088523265,1802,0.658157602663707,1.8653229399193922,31.537978839841045,-0.18266668368701355,0.658157602663707
confirmation,60,150,0.0006,534105.0088523265,1802,0.658157602663707,1.8653229399193922,31.537978839841045,-0.18266668368701355,0.658157602663707
confirmation,60,180,0.0006,533045.0404474497,1802,0.658157602663707,1.8636056465760837,31.513877189024942,-0.1827031069416225,0.658157602663707
chop_only,60,180,0.0006,533045.0404474497,1802,0.658157602663707,1.8636056465760837,31.513877189024942,-0.1827031069416225,0.658157602663707
